driverId,week,hours-logged,miles-logged
99,51,66,2000
59,2,80,3100
39,17,77,2600
94,22,64,3500
109,33,74,600
109,3,78,1500
38,1,73,3600
105,30,58,3900
49,22,65,400
81,20,58,3800
59,1,54,2200
31,29,72,2300
109,32,53,100
48,51,50,300
13,1,77,1400
108,21,77,200
53,29,67,800
18,7,80,900
33,31,78,1300
70,42,60,4000
92,29,53,2000
47,52,76,1900
11,43,54,3300
33,24,74,3700
55,46,73,3700
21,41,71,2700
25,51,63,3600
85,35,79,3500
59,31,52,2800
16,13,74,900
91,40,50,200
14,34,72,700
45,24,76,2500
93,39,79,800
107,26,76,2100
20,39,50,1200
18,36,57,3200
31,30,66,3900
65,48,78,3700
87,1,77,500
83,17,68,2000
11,19,73,1300
50,21,72,2600
72,4,76,1600
33,45,57,3400
106,8,62,700
19,19,78,200
77,43,71,2000
16,12,73,100
85,1,61,800
19,33,71,3000
80,11,73,2000
93,5,66,2600
32,22,60,0
106,40,77,1300
104,28,71,4000
29,31,60,3200
51,22,68,1800
14,48,79,2100
28,15,69,1400
90,31,56,2600
57,31,63,200
19,26,63,200
11,48,59,3200
70,46,58,3600
44,7,66,3300
84,13,72,400
99,6,51,3900
109,34,75,4000
100,29,71,1500
69,26,66,600
70,23,76,2200
19,26,73,2500
66,17,78,3300
41,16,76,4000
79,45,70,1300
73,7,71,4000
45,10,80,2500
104,11,65,200
74,34,63,1000
64,51,59,3600
51,30,63,1300
42,42,66,4000
62,51,58,3900
58,23,73,2100
69,46,53,2500
96,47,79,200
97,20,64,2600
85,48,60,3600
44,14,74,300
107,49,74,2800
72,11,65,3800
100,22,67,100
44,9,70,2400
27,36,63,3600
29,35,80,3400
38,39,72,2400
16,40,50,400
19,19,79,3500
51,51,70,2200
87,31,80,2600
39,47,54,100
65,19,80,1100
30,44,79,3700
43,14,72,2100
50,21,53,1000
103,25,60,1600
66,18,59,2500
52,52,53,2700
44,12,78,1500
108,26,58,3500
29,14,54,1100
64,43,77,3900
92,16,76,400
84,36,56,1200
36,20,78,1400
104,3,78,3700
50,19,53,3700
35,2,62,300
14,48,60,2500
21,47,62,800
108,33,78,900
19,15,62,1200
88,6,72,1600
105,42,67,2500
79,52,56,1300
61,21,53,600
51,34,63,400
49,32,61,2700
22,16,70,1600
60,18,79,500
81,7,57,1600
70,20,50,1900
94,9,56,1800
72,52,54,700
77,16,64,1400
28,31,54,1800
105,28,74,3100
24,7,72,1300
16,36,80,3100
54,45,63,1900
89,49,72,2600
74,43,55,3400
24,36,77,2400
34,38,59,2300
12,16,66,100
79,10,70,3000
34,6,58,1700
105,50,67,2900
89,22,50,0
70,45,64,3700
54,24,63,1600
79,37,76,3600
102,16,73,900
86,41,78,2600
13,8,66,3600
68,17,63,3300
33,38,56,3500
36,7,76,2900
35,19,59,1000
11,26,66,3400
33,46,77,2500
63,16,50,1500
22,46,60,2300
31,48,65,1600
16,15,65,2000
98,10,61,1800
46,10,62,1300
100,25,59,2100
75,27,64,3300
34,39,57,1200
75,21,69,3400
58,5,56,2100
103,42,55,1700
68,9,66,3300
24,44,67,3600
19,44,72,2000
18,5,70,1200
22,2,72,700
49,26,60,3300
57,10,70,2500
22,46,57,3300
92,20,54,300
81,22,55,500
13,5,64,900
108,44,58,600
44,4,75,400
64,36,50,1900
12,17,59,2500
97,12,57,1400
99,15,61,0
31,11,80,1800
109,21,69,2100
25,37,63,1200
41,5,79,3200
66,46,73,1800
11,28,79,100
66,43,55,200
49,21,64,3600
71,40,64,1000
85,22,58,3300
42,34,66,3200
90,44,68,300
77,25,62,4000
49,40,61,2700
46,36,69,800
94,35,76,3900
41,10,56,2600
73,44,72,3700
87,6,80,1400
10,50,60,2300
74,38,65,3700
51,3,52,1200
70,34,75,600
47,36,75,3400
84,28,52,400
49,19,60,3700
17,7,70,3900
16,11,56,2000
36,43,67,3700
28,4,68,2300
56,6,75,0
52,19,60,2300
43,33,67,2600
81,18,73,1000
89,21,54,3000
107,47,70,3400
43,3,70,3900
98,44,54,1400
46,39,78,2500
52,49,54,2500
25,51,65,500
90,12,75,1100
103,46,74,3200
51,37,65,1000
68,37,78,3000
87,41,63,1800
59,41,68,3500
47,49,80,600
59,51,60,2600
88,26,54,3800
35,33,51,3500
92,51,67,1000
96,51,53,2100
23,27,58,3000
57,42,80,3300
57,34,63,2900
81,40,79,1800
90,5,68,3300
44,44,77,2000
26,51,77,0
37,1,78,3600
28,7,69,2800
90,40,78,700
102,38,69,3900
52,44,75,3600
48,44,69,1700
108,30,63,300
108,37,51,3000
103,34,80,2500
57,2,76,3600
45,37,78,0
41,7,65,3500
73,23,77,1500
103,20,52,1900
79,35,56,1300
109,29,50,2000
30,15,80,3500
32,3,59,200
83,46,65,2900
40,6,69,0
81,11,50,1300
50,41,52,800
89,3,66,400
18,15,78,3600
38,28,64,2600
68,1,58,3800
49,52,66,1100
11,45,66,2500
30,8,68,4000
21,12,66,3200
59,38,62,2400
64,43,56,700
73,51,61,200
90,13,54,1500
58,43,73,3900
33,38,67,1100
62,33,59,2000
79,33,53,600
52,24,54,2300
62,45,68,3100
81,9,74,3500
46,22,55,1600
89,44,75,1000
44,48,79,1400
33,38,59,3000
37,30,68,2300
89,39,65,1000
25,48,69,1900
38,45,51,2000
48,33,59,1600
91,15,70,800
65,37,78,900
65,39,62,600
104,24,72,1800
94,7,58,900
34,42,50,3700
102,15,63,1800
57,32,79,3600
48,50,80,3300
42,50,63,1400
88,47,55,200
70,28,62,2700
15,43,74,800
104,49,54,2900
51,12,55,2000
105,8,70,3000
88,32,53,1500
36,12,58,1300
50,29,65,2600
82,42,71,2300
63,47,61,3000
72,40,74,1500
56,34,71,2200
18,17,56,1600
26,13,50,3600
99,24,60,2000
108,46,53,3200
106,13,56,1000
26,51,72,2700
95,6,73,1400
85,39,77,2400
85,5,52,0
87,5,63,1100
87,7,57,2500
13,9,74,3900
63,52,54,600
85,39,68,200
39,1,67,3500
99,47,64,3600
38,20,79,1400
12,39,69,3800
109,49,75,700
77,17,77,500
41,32,70,3900
37,52,50,3900
93,43,65,300
103,38,66,1600
35,26,75,400
32,22,59,2000
61,31,75,2900
108,14,52,100
66,10,52,1200
10,45,69,1800
73,51,80,3400
34,50,74,2700
10,19,57,1600
46,33,55,2500
51,30,77,200
40,6,52,1900
105,33,78,1800
107,13,63,2800
50,12,80,2600
105,4,72,3300
32,42,51,2300
66,33,77,1700
20,31,77,100
98,10,68,400
77,25,78,2900
33,32,60,200
69,52,65,3100
70,18,77,1300
60,24,79,2300
25,8,80,2200
69,42,52,1700
21,51,63,900
36,7,78,800
40,24,76,0
72,44,77,1200
108,7,59,3600
22,32,74,2200
52,38,73,2100
51,46,75,3300
43,3,54,3800
109,23,62,900
94,3,80,1900
60,50,77,3600
99,4,57,3500
80,27,60,800
91,1,53,500
34,42,74,200
27,6,50,100
61,36,60,0
13,42,75,3100
95,8,50,3700
102,24,67,3400
106,45,61,3400
20,47,50,3100
29,20,75,1000
21,14,50,2700
12,22,59,1700
72,38,66,300
101,51,53,2100
41,19,52,2200
96,31,51,1700
24,39,63,2800
45,20,62,2700
29,42,75,1300
46,37,71,3500
60,24,52,1300
39,3,79,400
31,39,66,1900
95,42,52,3900
69,47,71,1900
58,7,50,2200
31,3,71,2500
26,27,67,2500
32,29,78,2000
54,16,61,2600
50,28,63,3400
81,45,58,2700
99,45,79,2800
17,1,54,1500
76,34,73,3700
63,36,58,2600
79,31,73,1400
42,20,67,500
75,43,72,3000
15,17,65,100
15,24,71,2700
52,34,60,3200
67,42,64,2200
46,40,80,1600
59,39,60,2700
35,4,53,600
20,26,77,1200
37,7,56,600
36,28,76,1000
75,23,69,2200
32,14,74,3100
73,9,60,1100
74,5,65,3400
78,45,79,2800
40,44,79,800
87,36,76,1800
59,17,68,2300
60,45,71,3900
88,1,59,2800
17,15,60,3800
69,21,76,1900
51,52,65,1000
39,45,73,3700
73,37,59,2400
71,48,72,400
94,6,59,3700
39,13,53,3000
10,52,64,4000
106,9,75,3200
104,11,59,2500
106,33,75,3300
12,22,51,0
21,43,63,800
20,21,65,2300
91,37,79,2900
72,22,68,3400
51,28,50,3000
23,18,72,300
11,17,79,1600
48,1,53,200
14,3,66,2500
78,29,56,1500
30,23,54,1300
22,30,57,500
32,29,64,3800
74,22,71,3600
57,49,63,2800
57,39,58,100
58,27,60,3900
46,3,64,2300
87,11,76,3200
65,35,69,2300
83,26,56,3000
46,7,68,3800
74,31,76,3000
71,5,66,3600
70,42,62,900
43,14,64,2200
60,30,71,400
73,3,57,2800
78,29,66,2200
41,43,65,1600
19,35,80,1000
100,13,63,1300
56,13,67,3800
102,52,68,2000
61,45,56,700
17,5,71,1200
26,21,78,800
100,43,79,2500
44,37,76,3500
74,42,53,3400
108,9,52,3900
81,17,56,900
42,7,79,400
75,51,72,3300
33,9,57,3500
19,51,69,3400
12,2,58,600
53,41,65,3300
46,14,56,1700
30,7,59,2000
100,7,50,500
105,50,57,1500
60,33,71,3500
99,29,52,1300
94,16,69,600
80,9,57,1200
19,48,51,900
21,3,75,3600
26,44,64,1200
77,49,75,900
98,26,74,1900
91,17,67,3300
19,9,80,1600
77,48,55,300
98,42,53,900
77,43,74,1300
89,3,70,2600
99,20,73,2900
13,4,77,1500
67,13,79,1800
23,7,60,2700
52,33,60,1300
94,32,60,1900
48,23,53,2100
74,42,56,2300
94,39,52,4000
90,24,73,4000
20,9,54,1200
15,13,62,2100
92,10,71,3900
71,12,56,2200
38,34,63,300
82,38,68,1400
57,35,77,500
13,21,71,200
36,42,70,3900
34,17,80,100
14,32,55,3500
46,50,66,1000
48,9,79,800
56,21,53,1200
55,1,71,1500
100,35,50,2500
39,26,69,3300
61,46,64,2700
12,31,65,3200
14,31,59,900
42,12,59,2900
45,14,50,2000
14,43,51,2300
10,46,80,2500
20,43,52,900
48,2,76,1000
73,32,51,1700
77,42,73,2800
80,17,60,1600
49,45,57,3900
92,34,50,1600
105,4,54,1500
23,34,78,3700
90,27,76,300
11,34,60,600
50,43,50,2300
66,39,54,900
68,8,60,1200
